Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2015-04-21,209.6,71355280,210.67,210.86,209.24,-0.0011913271384321,0.0358802016408039,208.0605,208.708106,208.72183653071923,207.9548819656992,0.0068157648747427,0,1,1,-0.0011913271384321,0.019379864055693474
2015-04-22,210.63,78047720,210.01,210.85,208.9,0.0049141221374044,0.0409706434713861,208.151,208.828106,208.90356638493645,208.0597885552796,0.0067714895911712,1,0,1,0.0049141221374044,0.024389221212073986
2015-04-23,211.16,102247700,210.15,211.94,210.01,0.0025162607415847,0.0435899970346953,208.421,208.915106,209.11846482446632,208.1813654746804,0.005769681981116,2,0,1,0.0025162607415847,0.02696685159351242
2015-04-24,211.6499,61224640,211.66,211.97,211.11,0.0023200416745596,0.0460111693189695,208.739995,209.009504,209.35955388880285,208.31738643645767,0.0057067161821112,3,0,1,0.0023200416745596,0.02934945748760076
2015-04-27,210.77,79107250,212.33,212.48,210.54,-0.0041573371874968,0.0416625481862227,208.991495,209.04650400000003,209.49388208986923,208.41356736051813,0.0058430141172178,0,1,1,-0.0041573371874968,0.025070104709058016
2015-04-28,211.44,86758030,210.74,211.5,209.3301,0.0031788205152536,0.0449738064643685,209.150995,209.079704,209.67922665273883,208.532250993439,0.0052714234491748,1,0,1,0.0031788205152536,0.02832861858748048
2015-04-29,210.57,125567200,210.37,211.29,209.6,-0.0041146424517594,0.0406741128793135,209.357995,209.088904,209.76406220962087,208.61216271918647,0.0049220051473236,0,1,1,-0.0041146424517594,0.024097413999081274
2015-04-30,208.46,160666400,209.88,210.35,207.62,-0.0100204207626917,0.0302461203914219,209.495995,209.055504,209.6398658087046,208.60619555372816,0.0054247430122174,0,2,1,-0.0100204207626917,0.013835527008825954
2015-05-01,210.72,103245100,209.4,210.77,209.28,0.0108414084236783,0.0414154393594954,209.710245,209.070304,209.74273573168512,208.68908984573883,0.0058551009393882,1,0,1,0.0108414084236783,0.02482693203156372
2015-05-04,211.32,70813860,211.23,212.02,211.1,0.0028473804100228,0.0443807452802229,209.884745,209.071924,209.89295137628653,208.7922627929648,0.0057179549241399,2,0,1,0.0028473804100228,0.02774500416149417
